时间,刷题数目,平均分,累计用时,评分人,
2019/3/22 8  90.0   0.8h    周嘉璐
2019/3/23 4  89.00  0.4h    周嘉璐
2019/3/24 8  85.00  0.7h    周嘉璐
2019/3/26 13 89.60  1.3h    周嘉璐
2019/3/28 10 90.00  1.1h    周嘉璐
2019/4/1  5  100.00 0.7h    周嘉璐
2019/4/25 8  100.00 1.5h    周嘉璐
2019/4/27 4  100.00 0.7h    周嘉璐
2019/4/28 2  100.00 0.3h    周嘉璐
2019/5/2  4  95.00  0.5h    周嘉璐
2019/5/15 5  85.00  2.5h    周嘉璐
